Menu Item,Qty_Sold,Total_Revenue,BCG_Matrix,Void_Count,Discount_Count,Total_Discount_Amt,Transaction_Count,Item_Void_Rate,Item_Discount_Freq
$$$,1,100,Dog,0,0,0.0,1,0.0,0.0
$5 Arette Reposado,1,5,Dog,0,0,0.0,1,0.0,0.0
$5 Astral Blanco,5,25,Dog,0,0,0.0,3,0.0,0.0
$5 Bulleit Bourbon,19,95,Plowhorse,5,0,0.0,18,0.2777777777777778,0.0
$5 Cabernet,5,25,Dog,0,0,0.0,5,0.0,0.0
$5 Chardonnay,2,10,Dog,0,0,0.0,2,0.0,0.0
$5 Diplomatico Planas Rum,29,145,Plowhorse,9,0,0.0,27,0.3333333333333333,0.0
$5 Holiday Moscow Mule,16,80,Plowhorse,0,0,0.0,15,0.0,0.0
$5 Margarita,44,220,Plowhorse,0,1,7.0,39,0.0,0.02564102564102564
$5 Pear Old Fashioned,9,45,Dog,0,0,0.0,9,0.0,0.0
$5 Peroni,2,10,Dog,0,0,0.0,2,0.0,0.0
$5 Reyka Vodka,26,130,Plowhorse,0,0,0.0,25,0.0,0.0
$5 Roku Gin,4,20,Dog,0,0,0.0,4,0.0,0.0
$5 Rose,4,20,Dog,0,0,0.0,4,0.0,0.0
$5 Sauvignon Blanc,1,5,Dog,0,0,0.0,1,0.0,0.0
$5 Teremana Anejo,16,80,Plowhorse,3,0,0.0,14,0.21428571428571427,0.0
$7 banana bread winner shot,4,28,Dog,0,2,20.0,3,0.0,0.6666666666666666
$8 Casamigos Espresso Martini,43,344,Plowhorse,0,1,16.0,7,0.0,0.14285714285714285
$8 Casamigos Reposado Labor Day,70,552,Star,1,13,150.0,38,0.02631578947368421,0.34210526315789475
(JP) Morgan Margarita,167,2120,Star,6,63,2963.0,158,0.0379746835443038,0.3987341772151899
(JP) Morgan margarita,261,2987,Star,17,136,9991.0,244,0.06967213114754098,0.5573770491803278
(JP) Morgan's Margarita,431,5652,Star,7,194,10347.0,399,0.017543859649122806,0.48621553884711777
01.14.2024,1,5000,Puzzle,0,0,0.0,1,0.0,0.0
09.05 Glorietel,1,500,Puzzle,0,0,0.0,1,0.0,0.0
1 Short Rib Slider,1,9,Dog,0,0,0.0,1,0.0,0.0
12 Hour Jet Lag,9,80,Dog,1,2,36.0,9,0.1111111111111111,0.2222222222222222
12h Jet Lag,9175,134980,Star,110,2243,175751.0,8546,0.012871518839223028,0.26246197051252046
2 Quesadillas,1,7,Dog,0,0,0.0,1,0.0,0.0
2 extra quesdillas,25,204,Plowhorse,2,20,3301.0,25,0.08,0.8
30 Beef Quesadillas,1,230,Dog,0,1,500.0,1,0.0,1.0
